DataPedido;Regiao;UF;Estado;Vendedor;Seção;Item;Preço;Unidades
2020-01-05 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Microondas;650,0;4
2020-02-06 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Microondas;650,0;60
2020-02-09 00:00:00;Sudeste;SP;São Paulo;Smith;Cozinha;Fogão;650,99;35
2020-02-10 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Sala;Sofá;1200,0;87
2020-03-21 00:00:00;Sudeste;RJ;Rio de Janeiro;Pedro;Cozinha;Microondas;650,0;60
2020-03-22 00:00:00;Sudeste;SP;São Paulo;Raquel;Cozinha;Lavadora;1250,0;5
2020-04-29 00:00:00;Sudeste;SP;São Paulo;Smith;Cozinha;Lavadora;1500,0;2
2020-04-30 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;650,99;7
2020-06-06 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;650,0;57
2020-06-10 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;650,0;4
2020-07-17 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Microondas;650,0;60
2020-07-18 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Microondas;650,0;87
2020-08-23 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Microondas;650,0;81
2020-11-06 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;650,99;66
2021-01-05 00:00:00;Sudeste;SP;São Paulo;Alan;Sala;Mesa de Jantar;900,15;56
2021-02-06 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Sala;Sofá;1200,0;50
2021-02-07 00:00:00;Sudeste;SP;São Paulo;Alex;Sala;Mesa de Jantar;900,15;60
2021-02-08 00:00:00;Sudeste;SP;São Paulo;Alex;Sala;Sofá;1200,0;5
2021-02-11 00:00:00;Sudeste;SP;São Paulo;Smith;Sala;Rack;450,6;2
2021-03-19 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Sala;Sofá;1200,0;7
2021-05-03 00:00:00;Sudeste;RJ;Rio de Janeiro;Pedro;Cozinha;Fogão;650,99;67
2021-05-04 00:00:00;Sudeste;SP;São Paulo;Raquel;Cozinha;Geladeira;1990,0;16
2021-06-08 00:00:00;Sudeste;SP;São Paulo;Smith;Sala;Mesa de Jantar;900,15;50
2021-06-09 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Eletrônicos;Televisão;1900,5;7
2021-08-25 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Microondas;650,0;16
2021-09-21 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Lavadora;1250,0;53
2021-10-11 00:00:00;Sudeste;SP;São Paulo;Smith;Eletrônicos;Televisão;1900,5;50
2021-10-12 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Sala;Rack;450,6;7
2021-11-05 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Lavadora;1250,0;90
2021-12-09 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;650,0;67
2021-12-13 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Geladeira;2300,5;57
2021-12-14 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;650,99;75
2022-01-05 00:00:00;Sudeste;MG;Minas Gerais;Carlos;Cozinha;Geladeira;1990,0;55
2022-02-06 00:00:00;Sudeste;RJ;Rio de Janeiro;Alex;Cozinha;Microondas;600,0;11
2022-02-08 00:00:00;Sudeste;MG;Minas Gerais;Pedro;Cozinha;Geladeira;1990,0;96
2022-02-09 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;600,0;46
2022-02-11 00:00:00;Sudeste;SP;São Paulo;Pedro;Cozinha;Microondas;600,0;50
2022-03-21 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Geladeira;1990,0;50
2022-04-27 00:00:00;Sudeste;SP;São Paulo;Pedro;Cozinha;Lavadora;1250,0;5
2022-04-28 00:00:00;Sudeste;SP;São Paulo;Carlos;Cozinha;Fogão;590,5;90
2022-04-29 00:00:00;Sudeste;SP;São Paulo;Raquel;Cozinha;Fogão;590,5;66
2022-04-30 00:00:00;Sudeste;MG;Minas Gerais;Smith;Cozinha;Lavadora;1250,0;2
2022-05-01 00:00:00;Sudeste;RJ;Rio de Janeiro;Alan;Cozinha;Fogão;590,5;7
2022-05-02 00:00:00;Sudeste;RJ;Rio de Janeiro;Smith;Cozinha;Fogão;590,5;67
2022-05-04 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Microondas;600,0;94
2022-06-06 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Fogão;590,5;53
2022-06-08 00:00:00;Sudeste;MG;Minas Gerais;Carlos;Cozinha;Microondas;600,0;28
2022-06-09 00:00:00;Sudeste;RJ;Rio de Janeiro;Pedro;Cozinha;Geladeira;1990,0;42
2022-06-10 00:00:00;Sudeste;SP;São Paulo;Raquel;Cozinha;Fogão;628,6;75
2022-07-19 00:00:00;Sudeste;SP;São Paulo;Smith;Cozinha;Microondas;600,0;87
2022-07-20 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Microondas;600,0;28
2022-08-25 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Fogão;628,6;27
2022-10-10 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;600,0;80
2022-10-11 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;628,6;14
2022-10-12 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Fogão;628,6;90
2022-11-01 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Fogão;628,6;36
